temp,ph,do,ammonia,turbidity,salinity
27.34,7.83,4.78,0.015,21.0,18.001
27.3,7.85,4.72,0.015,18.0,18.001
27.23,7.83,4.69,0.015,17.0,18.0
27.27,7.87,4.78,0.015,22.0,18.001
27.25,7.88,4.87,0.015,21.0,18.0
27.26,7.86,4.69,0.015,17.0,18.0
27.32,7.85,4.75,0.015,18.0,18.0
27.29,7.84,4.82,0.015,20.0,18.0
27.21,7.89,4.61,0.015,19.0,18.0
27.18,7.89,4.74,0.015,19.0,18.0
27.15,7.91,4.49,0.015,16.0,17.999
27.13,7.84,4.62,0.015,21.0,17.999
27.2,7.88,4.77,0.015,19.0,18.0
27.26,7.86,4.73,0.015,18.0,18.0
27.21,7.88,4.54,0.015,19.0,18.0
27.2,7.88,4.63,0.015,19.0,18.0
27.23,7.85,4.59,0.015,20.0,18.0
27.26,7.86,4.57,0.015,18.0,18.0
27.25,7.87,4.53,0.015,20.0,18.0
27.26,7.86,4.63,0.015,19.0,18.0
27.23,7.85,4.59,0.015,19.0,18.0
27.26,7.89,4.65,0.015,15.0,18.0
27.32,7.88,4.55,0.015,17.0,18.0
27.16,7.88,4.63,0.015,20.0,17.999
27.18,7.85,4.51,0.015,20.0,17.999
27.22,7.87,4.65,0.015,20.0,17.999
27.18,7.85,4.49,0.015,20.0,17.999
27.29,7.84,4.49,0.015,20.0,17.999
27.32,7.83,4.55,0.015,21.0,17.999
27.25,7.82,4.47,0.015,19.0,17.999
27.27,7.84,4.58,0.015,20.0,17.999
27.25,7.83,4.59,0.015,18.0,17.999
27.24,7.85,4.66,0.015,18.0,17.999
27.12,7.85,4.54,0.015,21.0,17.999
27.17,7.84,4.56,0.015,20.0,17.999
27.16,7.87,4.49,0.015,22.0,17.999
27.14,7.87,4.54,0.015,19.0,17.999
27.23,7.87,4.66,0.015,20.0,17.999
27.23,7.82,4.52,0.015,19.0,17.999
27.14,7.88,4.58,0.015,22.0,17.999
27.2,7.85,4.53,0.015,21.0,17.999
27.21,7.83,4.68,0.015,20.0,17.999
27.34,7.86,4.57,0.015,19.0,17.999
27.19,7.88,4.48,0.015,21.0,17.999
27.08,7.84,4.5,0.015,17.0,17.999
27.22,7.86,4.59,0.015,19.0,17.999
27.23,7.88,4.59,0.015,17.0,17.999
27.26,7.85,4.48,0.015,20.0,17.999
27.21,7.82,4.43,0.015,21.0,17.999
27.27,7.82,4.54,0.015,20.0,17.999
27.16,7.8,4.69,0.015,21.0,17.999
27.2,7.82,4.66,0.015,18.0,17.999
27.19,7.84,4.57,0.015,20.0,17.999
27.28,7.87,4.45,0.015,20.0,17.999
27.2,7.86,4.48,0.015,18.0,17.998
27.13,7.85,4.43,0.015,19.0,17.999
27.27,7.87,4.46,0.016,20.0,17.998
27.18,7.85,4.51,0.015,19.0,17.998
27.23,7.84,4.49,0.016,19.0,17.998
27.13,7.82,4.43,0.016,19.0,17.998
27.23,7.84,4.46,0.016,19.0,17.998
27.21,7.85,4.51,0.016,19.0,17.998
27.24,7.84,4.47,0.015,18.0,17.998
27.22,7.85,4.53,0.016,17.0,17.998
27.25,7.91,4.5,0.015,20.0,17.998
27.25,7.86,4.42,0.015,16.0,17.998
27.23,7.84,4.61,0.015,21.0,17.998
27.21,7.86,4.49,0.015,18.0,17.998
27.14,7.85,4.48,0.015,21.0,17.998
27.21,7.85,4.48,0.015,20.0,17.998
27.17,7.84,4.55,0.015,21.0,17.998
27.23,7.85,4.42,0.015,19.0,17.998
27.15,7.85,4.47,0.015,21.0,17.997
27.19,7.85,4.51,0.015,21.0,17.997
27.15,7.83,4.38,0.015,20.0,17.997
27.22,7.86,4.54,0.015,17.0,17.997
27.21,7.88,4.47,0.015,18.0,17.997
27.12,7.87,4.48,0.015,20.0,17.997
27.18,7.84,4.31,0.016,21.0,17.997
27.24,7.84,4.45,0.015,20.0,17.997
27.21,7.86,4.46,0.015,21.0,17.997
27.19,7.89,4.36,0.015,19.0,17.997
27.15,7.85,4.54,0.015,21.0,17.997
27.22,7.77,4.5,0.016,22.0,17.997
27.22,7.84,4.37,0.016,21.0,17.996
27.11,7.82,4.4,0.016,20.0,17.996
27.17,7.86,4.46,0.015,20.0,17.996
27.14,7.86,4.43,0.015,19.0,17.996
27.15,7.82,4.45,0.016,17.0,17.996
27.1,7.82,4.44,0.016,22.0,17.996
27.22,7.85,4.45,0.016,22.0,17.996
27.21,7.88,4.43,0.016,19.0,17.996
27.13,7.83,4.57,0.016,21.0,17.996
27.15,7.83,4.36,0.016,20.0,17.996
27.21,7.83,4.43,0.016,18.0,17.996
27.1,7.84,4.29,0.016,19.0,17.996
27.21,7.88,4.41,0.016,20.0,17.996
27.14,7.83,4.49,0.016,18.0,17.996
27.07,7.82,4.44,0.016,19.0,17.996
27.22,7.85,4.35,0.016,17.0,17.995
27.1,7.86,4.51,0.016,18.0,17.996
27.14,7.83,4.46,0.016,17.0,17.996
27.14,7.84,4.31,0.016,18.0,17.995
27.13,7.86,4.4,0.016,19.0,17.996
27.13,7.84,4.48,0.016,19.0,17.996
27.2,7.84,4.34,0.016,19.0,17.996
27.2,7.83,4.37,0.016,22.0,17.995
27.17,7.86,4.38,0.016,18.0,17.995
27.19,7.85,4.31,0.016,16.0,17.995
27.16,7.83,4.36,0.016,19.0,17.995
27.17,7.81,4.32,0.016,21.0,17.995
27.19,7.86,4.29,0.016,18.0,17.995
27.28,7.86,4.4,0.016,19.0,17.995
27.09,7.85,4.31,0.016,17.0,17.995
27.05,7.85,4.33,0.016,18.0,17.995
27.18,7.83,4.31,0.016,17.0,17.995
27.14,7.79,4.46,0.016,19.0,17.995
27.1,7.81,4.45,0.016,20.0,17.996
27.17,7.82,4.3,0.016,18.0,17.995
27.25,7.83,4.33,0.016,20.0,17.995
27.15,7.86,4.29,0.016,18.0,17.995
27.19,7.86,4.28,0.017,21.0,17.995
27.2,7.79,4.4,0.017,18.0,17.995
27.21,7.85,4.31,0.017,19.0,17.995
27.05,7.81,4.36,0.017,18.0,17.995
27.13,7.85,4.37,0.017,19.0,17.995
27.13,7.83,4.36,0.017,20.0,17.996
27.18,7.82,4.21,0.017,21.0,17.996
27.19,7.85,4.18,0.017,18.0,17.996
27.11,7.83,4.43,0.017,21.0,17.996
27.12,7.83,4.25,0.017,18.0,17.996
27.11,7.85,4.32,0.017,20.0,17.996
27.19,7.81,4.36,0.017,21.0,17.996
27.09,7.85,4.34,0.017,22.0,17.996
27.16,7.84,4.23,0.017,20.0,17.996
27.1,7.82,4.36,0.017,21.0,17.996
27.13,7.79,4.25,0.017,20.0,17.996
27.19,7.84,4.41,0.017,19.0,17.996
27.11,7.86,4.23,0.017,16.0,17.996
27.12,7.85,4.14,0.017,21.0,17.997
27.16,7.82,4.25,0.017,20.0,17.997
27.17,7.84,4.33,0.017,20.0,17.997
27.1,7.88,4.41,0.017,21.0,17.997
27.04,7.82,4.19,0.017,20.0,17.996
27.11,7.84,4.3,0.017,19.0,17.996
27.2,7.83,4.35,0.017,18.0,17.996
27.15,7.81,4.26,0.017,22.0,17.996
27.07,7.8,4.38,0.017,21.0,17.997
27.13,7.82,4.36,0.017,19.0,17.997
27.15,7.83,4.14,0.017,21.0,17.997
27.13,7.8,4.23,0.017,18.0,17.997
27.07,7.81,4.17,0.017,20.0,17.997
27.16,7.82,4.19,0.017,17.0,17.997
27.18,7.82,4.35,0.017,19.0,17.998
27.13,7.81,4.18,0.017,21.0,17.998
27.17,7.85,4.21,0.017,24.0,17.998
27.2,7.83,4.23,0.017,20.0,17.998
27.13,7.82,4.11,0.017,19.0,17.998
27.14,7.82,4.21,0.017,16.0,17.997
27.21,7.81,4.18,0.017,18.0,17.998
27.17,7.82,4.22,0.017,22.0,17.998
27.06,7.8,4.29,0.017,20.0,17.998
27.08,7.86,4.37,0.017,19.0,17.998
27.17,7.83,4.3,0.017,19.0,17.998
27.16,7.82,4.33,0.017,20.0,17.998
27.16,7.83,4.2,0.017,19.0,17.998
27.13,7.84,4.21,0.017,17.0,17.998
27.11,7.84,4.3,0.017,19.0,17.997
27.14,7.81,4.2,0.017,21.0,17.997
27.11,7.84,4.1,0.017,19.0,17.997
27.07,7.84,4.23,0.017,20.0,17.997
27.13,7.78,4.17,0.017,21.0,17.998
27.04,7.8,4.24,0.017,19.0,17.998
27.16,7.8,4.12,0.017,18.0,17.998
27.07,7.81,4.25,0.017,17.0,17.998
27.14,7.84,4.04,0.017,20.0,17.999
27.11,7.81,4.13,0.017,21.0,17.998
27.07,7.82,4.17,0.017,19.0,17.998
27.05,7.84,4.24,0.017,21.0,17.999
27.16,7.81,4.16,0.017,17.0,17.999
27.12,7.79,4.12,0.017,21.0,17.999
27.08,7.78,4.25,0.017,21.0,17.998
27.05,7.85,4.18,0.017,20.0,17.998
27.11,7.82,4.08,0.017,19.0,17.998
27.14,7.79,4.14,0.017,20.0,17.999
27.11,7.83,4.2,0.017,21.0,17.998
27.09,7.83,4.03,0.017,20.0,17.998
27.14,7.86,4.24,0.017,19.0,17.998
27.01,7.82,4.22,0.017,18.0,17.998
27.18,7.79,4.14,0.017,19.0,17.997
27.11,7.83,4.09,0.017,19.0,17.997
27.11,7.83,4.18,0.017,22.0,17.997
27.15,7.85,4.18,0.017,17.0,17.997
27.12,7.8,4.15,0.017,19.0,17.997
27.09,7.85,4.16,0.017,20.0,17.997
27.06,7.83,4.12,0.017,17.0,17.997
27.07,7.81,4.1,0.017,20.0,17.997
27.07,7.84,4.1,0.017,19.0,17.997
27.16,7.8,4.13,0.017,18.0,17.997
27.1,7.84,4.21,0.017,19.0,17.997
27.12,7.82,4.12,0.017,18.0,17.997
27.07,7.84,4.07,0.017,19.0,17.997
27.12,7.83,4.04,0.017,23.0,17.997
27.1,7.82,4.11,0.017,19.0,17.997
27.09,7.83,4.17,0.017,17.0,17.997
27.07,7.79,4.06,0.017,21.0,17.997
27.03,7.84,4.0,0.017,21.0,17.997
27.07,7.78,4.06,0.017,19.0,17.996
27.12,7.82,4.14,0.017,20.0,17.996
27.12,7.81,4.14,0.017,18.0,17.996
27.02,7.85,4.15,0.017,21.0,17.996
27.11,7.82,4.08,0.017,19.0,17.996
27.05,7.79,3.99,0.017,18.0,17.996
27.08,7.81,4.16,0.017,20.0,17.996
27.05,7.8,3.96,0.017,21.0,17.996
27.11,7.82,4.03,0.017,20.0,17.995
27.11,7.83,4.14,0.017,19.0,17.995
27.12,7.82,3.96,0.017,21.0,17.995
27.11,7.81,4.04,0.017,20.0,17.995
27.14,7.81,4.1,0.017,19.0,17.995
27.13,7.84,4.08,0.017,20.0,17.995
27.05,7.84,4.0,0.017,20.0,17.995
27.12,7.82,4.04,0.017,17.0,17.995
27.01,7.84,4.05,0.017,21.0,17.995
27.13,7.85,4.02,0.017,20.0,17.994
27.11,7.81,4.11,0.017,21.0,17.994
27.09,7.78,3.96,0.017,23.0,17.994
27.15,7.78,4.2,0.017,21.0,17.994
27.05,7.85,4.01,0.017,19.0,17.994
27.05,7.82,4.03,0.017,21.0,17.994
27.03,7.8,3.94,0.017,19.0,17.994
27.18,7.83,4.02,0.017,19.0,17.994
27.03,7.81,4.02,0.017,22.0,17.994
27.16,7.81,3.99,0.017,19.0,17.994
27.07,7.8,4.02,0.017,20.0,17.994
27.12,7.8,4.05,0.017,21.0,17.994
27.01,7.85,4.04,0.017,21.0,17.994
27.11,7.79,3.99,0.017,21.0,17.994
27.19,7.81,4.01,0.017,21.0,17.994
27.11,7.8,3.95,0.017,19.0,17.994
27.16,7.82,4.04,0.017,18.0,17.994
27.14,7.8,3.98,0.017,18.0,17.994
27.22,7.83,4.03,0.018,16.0,17.994
27.1,7.81,3.96,0.017,22.0,17.994
27.05,7.8,4.0,0.018,19.0,17.994
27.02,7.8,3.97,0.018,18.0,17.994
27.04,7.83,4.12,0.018,21.0,17.994
26.99,7.85,3.97,0.018,16.0,17.994
27.01,7.8,3.95,0.017,18.0,17.993
27.03,7.81,4.04,0.018,22.0,17.993
27.13,7.79,4.04,0.018,23.0,17.993
27.08,7.82,3.92,0.018,19.0,17.993
27.14,7.8,4.01,0.017,19.0,17.993
27.05,7.8,4.12,0.017,20.0,17.993
27.05,7.79,3.67,0.018,18.0,17.993
27.06,7.84,4.0,0.018,18.0,17.993
27.0,7.81,3.93,0.018,20.0,17.993
27.14,7.81,3.92,0.017,19.0,17.993
26.97,7.81,4.05,0.017,20.0,17.992
27.08,7.82,3.98,0.017,19.0,17.992
27.07,7.81,3.96,0.017,20.0,17.992
27.24,7.79,4.0,0.017,19.0,17.992
27.12,7.74,3.99,0.018,21.0,17.992
27.07,7.8,3.99,0.018,19.0,17.992
27.08,7.8,3.97,0.018,19.0,17.992
27.04,7.83,4.03,0.018,21.0,17.992
27.04,7.81,4.01,0.018,22.0,17.992
27.02,7.82,3.98,0.018,21.0,17.992
27.09,7.8,3.93,0.018,17.0,17.992
27.1,7.82,3.97,0.018,20.0,17.992
27.04,7.78,3.87,0.018,19.0,17.992
27.04,7.82,4.1,0.018,20.0,17.992
27.09,7.78,4.02,0.018,20.0,17.991
27.07,7.77,3.77,0.018,19.0,17.992
27.13,7.83,4.01,0.018,20.0,17.992
27.02,7.81,3.83,0.018,20.0,17.992
27.1,7.79,3.96,0.018,17.0,17.992
27.13,7.82,3.89,0.018,19.0,17.992
27.11,7.8,3.8,0.018,22.0,17.992
27.09,7.8,3.93,0.018,21.0,17.992
27.0,7.79,3.81,0.018,20.0,17.992
27.12,7.78,3.97,0.018,20.0,17.991
27.05,7.8,4.12,0.018,19.0,17.992
27.04,7.81,4.01,0.018,21.0,17.992
27.09,7.84,3.89,0.018,19.0,17.992
27.09,7.79,4.01,0.018,18.0,17.992
27.1,7.83,3.92,0.018,18.0,17.992
27.16,7.79,3.92,0.018,20.0,17.992
26.98,7.75,3.92,0.018,21.0,17.992
27.15,7.81,3.92,0.018,21.0,17.992
27.11,7.82,3.81,0.018,17.0,17.992
27.0,7.83,3.86,0.018,22.0,17.992
27.08,7.82,3.85,0.018,17.0,17.992
27.06,7.81,4.02,0.018,21.0,17.992
27.08,7.82,3.95,0.018,21.0,17.992
27.01,7.81,3.89,0.018,17.0,17.992
27.06,7.79,3.99,0.018,19.0,17.992
27.07,7.79,3.93,0.018,20.0,17.992
27.03,7.78,3.93,0.018,23.0,17.992
27.03,7.8,4.03,0.018,18.0,17.992
27.07,7.81,3.72,0.018,20.0,17.992
27.08,7.81,3.99,0.018,19.0,17.992
27.07,7.78,3.8,0.018,19.0,17.991
26.99,7.81,3.82,0.018,22.0,17.991
26.98,7.78,3.86,0.018,18.0,17.991
26.98,7.8,3.88,0.018,23.0,17.991
27.05,7.79,3.74,0.018,19.0,17.991
27.07,7.83,3.88,0.018,19.0,17.992
27.06,7.83,3.88,0.018,18.0,17.991
27.05,7.79,3.97,0.017,19.0,17.992
27.0,7.8,3.82,0.018,17.0,17.992
27.11,7.76,3.8,0.018,20.0,17.992
26.96,7.81,3.91,0.017,22.0,17.992
27.02,7.81,3.97,0.017,20.0,17.992
27.05,7.78,3.93,0.017,18.0,17.992
27.12,7.79,3.87,0.018,22.0,17.992
27.03,7.78,3.87,0.018,19.0,17.992
26.97,7.79,3.9,0.018,18.0,17.992
27.12,7.8,3.78,0.018,20.0,17.992
27.01,7.79,3.81,0.018,19.0,17.993
27.02,7.78,3.97,0.018,18.0,17.993
27.02,7.79,3.83,0.018,19.0,17.993
27.08,7.78,3.67,0.018,21.0,17.993
26.94,7.77,3.84,0.018,19.0,17.993
27.03,7.79,3.85,0.018,20.0,17.993
27.01,7.83,3.95,0.018,19.0,17.993
27.08,7.79,3.98,0.018,20.0,17.993
27.1,7.79,3.78,0.018,19.0,17.993
26.97,7.82,3.79,0.018,19.0,17.993
27.0,7.78,3.77,0.018,19.0,17.993
26.97,7.81,3.78,0.018,18.0,17.992
27.13,7.82,3.7,0.018,22.0,17.992
27.11,7.79,3.77,0.018,16.0,17.992
27.15,7.79,3.77,0.018,18.0,17.992
27.13,7.79,3.75,0.018,22.0,17.992
27.01,7.84,3.9,0.018,19.0,17.992
27.03,7.81,3.79,0.018,21.0,17.992
27.09,7.78,3.84,0.018,15.0,17.992
26.97,7.8,3.77,0.018,19.0,17.992
27.1,7.78,3.8,0.018,20.0,17.992
27.0,7.82,3.74,0.018,19.0,17.992
26.98,7.79,3.85,0.018,18.0,17.992
27.0,7.82,3.84,0.018,19.0,17.993
27.08,7.78,3.77,0.018,18.0,17.992
27.09,7.81,3.83,0.018,21.0,17.993
27.1,7.8,3.81,0.018,19.0,17.993
27.02,7.78,3.69,0.018,18.0,17.993
27.04,7.79,3.72,0.018,19.0,17.993
27.06,7.77,3.74,0.018,21.0,17.993
27.13,7.79,3.72,0.018,23.0,17.993
27.1,7.82,3.87,0.018,19.0,17.993
27.0,7.82,3.67,0.018,20.0,17.993
27.1,7.79,3.69,0.018,21.0,17.993
27.11,7.8,3.7,0.018,21.0,17.993
26.95,7.77,3.7,0.018,19.0,17.993
27.01,7.79,3.76,0.018,21.0,17.993
27.05,7.76,3.84,0.018,19.0,17.993
26.98,7.78,3.81,0.018,19.0,17.994
26.92,7.76,3.72,0.018,18.0,17.994
26.98,7.78,3.66,0.018,20.0,17.994
27.03,7.8,3.75,0.018,19.0,17.994
27.05,7.78,3.67,0.018,21.0,17.994
27.04,7.79,3.77,0.018,17.0,17.994
27.0,7.76,3.8,0.018,19.0,17.994
26.96,7.78,3.69,0.018,21.0,17.993
27.05,7.78,3.66,0.018,19.0,17.994
26.98,7.8,3.61,0.018,23.0,17.994
27.0,7.83,3.79,0.018,19.0,17.994
26.99,7.8,3.82,0.018,21.0,17.994
27.05,7.79,3.71,0.018,20.0,17.994
27.08,7.8,3.83,0.018,19.0,17.994
26.95,7.78,3.67,0.018,17.0,17.994
26.97,7.79,3.83,0.018,20.0,17.994
27.06,7.77,3.71,0.018,22.0,17.993
27.02,7.77,3.55,0.018,22.0,17.993
26.95,7.8,3.71,0.018,21.0,17.993
27.06,7.8,3.72,0.018,19.0,17.993
27.05,7.81,3.69,0.018,18.0,17.993
27.04,7.77,3.52,0.018,20.0,17.993
27.04,7.8,3.75,0.018,18.0,17.993
27.0,7.77,3.78,0.018,23.0,17.993
26.99,7.79,3.81,0.018,21.0,17.993
27.07,7.77,3.7,0.018,20.0,17.993
27.02,7.79,3.66,0.018,18.0,17.994
26.97,7.76,3.8,0.018,21.0,17.994
27.07,7.75,3.77,0.018,19.0,17.994
27.01,7.78,3.64,0.018,18.0,17.994
27.11,7.86,3.57,0.018,18.0,17.994
27.14,7.79,3.7,0.018,20.0,17.994
27.05,7.8,3.65,0.018,20.0,17.994
27.03,7.79,3.77,0.018,21.0,17.994
26.98,7.8,3.66,0.018,21.0,17.994
27.01,7.76,3.69,0.018,21.0,17.995
27.03,7.81,3.63,0.018,17.0,17.995
27.06,7.77,3.65,0.018,20.0,17.995
26.97,7.83,3.65,0.018,21.0,17.995
27.08,7.76,3.51,0.018,19.0,17.995
27.02,7.8,3.54,0.018,18.0,17.995
27.02,7.77,3.66,0.018,19.0,17.995
27.06,7.78,3.71,0.018,18.0,17.995
27.06,7.78,3.63,0.018,19.0,17.995
27.01,7.78,3.48,0.018,20.0,17.995
27.01,7.81,3.48,0.018,19.0,17.994
27.05,7.75,3.67,0.018,18.0,17.994
26.93,7.81,3.63,0.018,22.0,17.994
27.04,7.79,3.56,0.018,21.0,17.994
26.94,7.77,3.64,0.018,16.0,17.993
27.04,7.78,3.58,0.018,19.0,17.994
27.04,7.79,3.57,0.018,23.0,17.994
27.02,7.78,3.61,0.018,20.0,17.994
27.07,7.76,3.72,0.018,21.0,17.993
26.96,7.77,3.54,0.018,20.0,17.994
26.98,7.78,3.7,0.018,19.0,17.994
27.01,7.79,3.72,0.018,18.0,17.994
26.94,7.8,3.51,0.018,18.0,17.994
26.98,7.78,3.6,0.018,22.0,17.994
26.96,7.82,3.53,0.018,19.0,17.994
27.07,7.76,3.69,0.018,20.0,17.994
27.01,7.81,3.67,0.018,22.0,17.994
27.03,7.8,3.56,0.018,18.0,17.994
26.99,7.78,3.55,0.018,22.0,17.994
27.01,7.79,3.65,0.018,20.0,17.994
27.04,7.77,3.71,0.018,18.0,17.993
26.96,7.79,3.64,0.018,21.0,17.994
27.0,7.78,3.6,0.018,19.0,17.994
26.97,7.79,3.61,0.018,17.0,17.994
27.03,7.76,3.69,0.018,22.0,17.994
27.02,7.77,3.47,0.018,22.0,17.994
27.09,7.8,3.66,0.019,19.0,17.994
26.99,7.8,3.57,0.019,21.0,17.993
27.03,7.77,3.69,0.019,19.0,17.993
27.14,7.83,3.54,0.019,19.0,17.994
27.02,7.8,3.63,0.019,20.0,17.994
27.03,7.78,3.61,0.019,17.0,17.994
27.0,7.77,3.5,0.019,23.0,17.994
26.91,7.78,3.53,0.019,20.0,17.994
27.0,7.79,3.81,0.019,18.0,17.994
27.03,7.79,3.72,0.019,17.0,17.994
26.97,7.78,3.48,0.019,20.0,17.994
27.08,7.78,3.5,0.019,22.0,17.994
26.99,7.79,3.69,0.019,17.0,17.994
26.91,7.77,3.61,0.019,18.0,17.994
27.02,7.78,3.58,0.019,20.0,17.994
26.99,7.76,3.51,0.019,20.0,17.994
27.02,7.74,3.65,0.019,19.0,17.995
26.98,7.78,3.54,0.019,16.0,17.994
26.91,7.77,3.51,0.019,22.0,17.994
26.97,7.8,3.68,0.019,20.0,17.994
26.89,7.75,3.72,0.019,21.0,17.994
27.05,7.79,3.73,0.019,17.0,17.994
27.03,7.75,3.59,0.019,21.0,17.994
27.0,7.78,3.47,0.019,19.0,17.994
27.06,7.8,3.64,0.019,19.0,17.994
27.03,7.79,3.47,0.019,19.0,17.994
26.99,7.81,3.56,0.019,21.0,17.994
26.95,7.76,3.32,0.019,21.0,17.994
27.03,7.79,3.51,0.019,19.0,17.994
27.03,7.79,3.55,0.019,19.0,17.993
26.96,7.77,3.6,0.019,20.0,17.994
26.98,7.75,3.58,0.019,22.0,17.993
27.03,7.77,3.49,0.019,21.0,17.993
26.94,7.78,3.48,0.019,19.0,17.993
26.95,7.78,3.59,0.019,20.0,17.993
27.07,7.79,3.6,0.019,17.0,17.993
27.06,7.79,3.59,0.019,20.0,17.993
27.01,7.76,3.69,0.019,21.0,17.993
27.06,7.77,3.53,0.019,21.0,17.993
26.97,7.76,3.44,0.019,18.0,17.993
27.02,7.77,3.62,0.019,19.0,17.993
26.99,7.79,3.66,0.019,19.0,17.993
27.11,7.8,3.38,0.019,20.0,17.993
27.02,7.79,3.51,0.019,19.0,17.993
26.97,7.78,3.59,0.019,22.0,17.992
27.03,7.79,3.59,0.019,17.0,17.992
26.89,7.8,3.54,0.019,18.0,17.992
27.0,7.77,3.54,0.019,20.0,17.992
27.0,7.8,3.44,0.019,21.0,17.993
26.96,7.78,3.53,0.019,19.0,17.992
26.99,7.78,3.41,0.019,21.0,17.992
26.93,7.78,3.51,0.019,21.0,17.992
26.97,7.76,3.48,0.019,24.0,17.992
26.97,7.77,3.47,0.019,20.0,17.992
26.92,7.8,3.51,0.019,20.0,17.992
27.02,7.77,3.57,0.019,18.0,17.992
26.92,7.78,3.47,0.019,21.0,17.992
26.97,7.8,3.67,0.019,20.0,17.992
26.99,7.77,3.51,0.019,20.0,17.992
26.93,7.8,3.71,0.019,20.0,17.992
27.01,7.77,3.49,0.019,20.0,17.992
26.92,7.79,3.39,0.019,21.0,17.992
26.95,7.81,3.4,0.019,19.0,17.992
26.9,7.76,3.39,0.019,19.0,17.992
27.01,7.79,3.53,0.019,18.0,17.992
27.0,7.75,3.54,0.019,18.0,17.992
26.95,7.78,3.61,0.019,20.0,17.991
26.91,7.8,3.42,0.019,19.0,17.991
26.98,7.78,3.55,0.019,19.0,17.991
26.96,7.77,3.5,0.019,19.0,17.991
26.99,7.8,3.49,0.019,19.0,17.991
26.99,7.79,3.39,0.019,20.0,17.992
27.1,7.73,3.59,0.019,18.0,17.992
26.94,7.79,3.62,0.019,18.0,17.991
27.01,7.78,3.53,0.019,20.0,17.991
26.97,7.76,3.46,0.019,17.0,17.991
27.05,7.78,3.36,0.019,20.0,17.991
27.04,7.78,3.39,0.02,20.0,17.992
27.08,7.76,3.46,0.019,20.0,17.992
26.99,7.77,3.55,0.02,19.0,17.992
27.04,7.76,3.45,0.02,19.0,17.992
26.9,7.76,3.3,0.019,18.0,17.991
26.96,7.75,3.49,0.019,19.0,17.991
26.99,7.76,3.52,0.019,21.0,17.991
26.97,7.78,3.46,0.019,21.0,17.991
27.0,7.73,3.23,0.019,18.0,17.991
26.89,7.79,3.41,0.02,17.0,17.991
27.04,7.79,3.45,0.02,20.0,17.991
27.02,7.79,3.57,0.019,19.0,17.991
26.93,7.77,3.46,0.019,20.0,17.991
27.06,7.79,3.38,0.019,19.0,17.991
26.93,7.75,3.43,0.019,19.0,17.991
